,Customer_ID,Total_Orders,Total_Returns,High_Value_Returns,COD_Orders,Return_Rate,Risk_Score,Risk_Category
0,1,39,36,17,9,0.9230769230769231,100,High Risk
1,2,29,22,2,4,0.7586206896551724,49.93103448275862,Medium Risk
2,3,15,9,6,6,0.6,57,Medium Risk
3,4,43,9,3,9,0.20930232558139536,32.96511627906977,Medium Risk
4,5,8,5,4,1,0.625,44.75,Medium Risk
5,6,21,4,0,12,0.19047619047619047,27.523809523809526,Low Risk
6,7,39,35,28,39,0.8974358974358975,100,High Risk
7,8,19,1,1,1,0.05263157894736842,7.131578947368421,Low Risk
8,9,23,19,11,19,0.8260869565217391,100,High Risk
9,10,11,9,8,0,0.8181818181818182,64.9090909090909,Medium Risk
